PG.ProteinGroups	STM_ID	ΔlppA early	ΔlppA late	ΔlppB early	ΔlppB late	WT early	WT late	WT early vs ΔlppA early	WT early vs ΔlppB early	WT late vs ΔlppA late	WT late vs ΔlppB late	ΔlppA early vs ΔlppB early	ΔlppA late vs ΔlppB late
A0A0H3N993	STM0784	31467.6450195312	52946.755859375	132318.12109375	166883.3125	132503.041015625	169703.520833333	2.074084351523229	0.002014817059834907	1.6804023011554432	0.02417679714256535	-2.072069534463394	-1.656225504012878
A0A0H3NEG7	STM0785	1742166.15625	1800647.65625	933222.328125	835024.640625	958755.984375	847272.645833333	-0.8616466423922943	0.0389428522545181	-1.0876177103187195	0.021007521958108424	0.9005894946468125	1.108625232276828
A0A0H3N9R9	STM0786	786230.421875	914771.34375	1310157.8125	1229208.84375	1379393.28125	1309336.0	0.8110097521934141	0.07429324558423993	0.5173522896961327	0.09110531541431885	-0.7367165066091743	-0.42624697428181363
A0A0H3NJ83	STM0787	64235.5576171875	86417.587890625	33351.5004882813	27584.2456054687	34312.2529296875	24553.001953125	-0.9046482670259157	0.04097218591730882	-1.8154255373460297	-0.16794509983207018	0.9456204529432245	1.6474804375139596
A0A0H3NAY8	STM0788	172546.01953125	235677.34375	108785.158203125	81798.33984375	105026.162109375	87475.0963541667	-0.716232443323538	-0.05073299071348414	-1.4298688216737319	0.09680078567161612	0.6654994526100538	1.526669607345348
A0A0H3N9A0	STM0789	85566.326171875	61201.5146484375	48629.7724609375	40827.525390625	46242.8740234375	36726.7604166667	-0.8878120841417293	-0.07260877619082651	-0.7367357131029985	-0.15271048173172877	0.8152033079509026	0.5840252313712696
A0A0H3NEH2	STM0790	81314.19140625	62638.9384765625	98204.587890625	36374.9428710938	112182.42578125	40218.9817708333	0.464267618071611	0.19198435405061462	-0.6391832067043253	0.14493157502004508	-0.27228326402099623	0.7841147817243703
A0A0H3N9S4	STM0791	96229.798828125	54827.3955078125	99145.537109375	41021.13671875	119903.068359375	48487.2955729167	0.3173129604037378	0.274248840038589	-0.17729015399574347	0.2412393179670281	-0.043064120365148936	0.41852947196277174
A0A0H3NJ87	STM0792	746408.796875	653397.2265625	173093.06640625	144591.7421875	185933.25390625	146030.994791667	-2.00518117196171	0.10323688156703131	-2.16168572027128	0.014289450242408108	2.1084180535287413	2.175975170513688
A0A0H3NAZ3	STM0793	374395.28125	228003.98046875	367449.8984375	285323.0234375	392993.328125	304710.270833333	0.0699425681566489	0.09695726716077846	0.4183791185730374	0.09484196326232368	0.0270146990041295	-0.3235371553107138
A0A0H3N9A5	STM0794	175086.640625	229755.29296875	800816.875	622981.765625	780965.828125	650533.041666667	2.1571904151442967	-0.03621295199507154	1.501524237844183	0.06243239882911367	-2.1934033671393687	-1.4390918390150695
A0A0H3NEH9	STM0795	60503.0546875	49850.0908203125	104931.724609375	90015.658203125	115874.287109375	90904.4505208333	0.9374805746725975	0.14310954089924732	0.8667547949148997	0.014174948197836108	-0.7943710337733502	-0.8525798467170635
A0A0H3N9T0	STM0796	4990.23718261719	5880.66162109375	11363.6762695313	5380.22924804688	9213.59130859375	6487.50944010417	0.8846552175725743	-0.30259412726538015	0.14168625393368603	0.2699970863833008	-1.1872493448379544	0.12831083244961491
A0A0H3NJ91	STM0797	751433.90625	736708.0625	759208.140625	760925.390625	788501.875	763498.208333333	0.06946797081489624	0.05461872387415003	0.05153174001813648	0.004869768318641155	-0.014849246940745967	-0.046661971699495354
A0A0H3NB00	STM0798	318325.625	196896.3828125	185706.34375	161774.353515625	186739.8515625	161153.15625	-0.7694734562175429	0.00800674267411933	-0.2890041632603015	-0.0055504674755971805	0.7774801988916622	0.28345369578470436
A0A0H3N9B0	STM0800	32874.546875	29605.4619140625	37069.2631835937	61475.28125	41277.55859375	56814.9205729167	0.32838663429921855	0.1551342041557397	0.9404064926242642	-0.11373657422160094	-0.17325243014347863	-1.0541430668458651
A0A0H3NEJ3	STM0801	976874.90625	1271449.625	996784.828125	1000432.96875	1006904.84375	1076347.85416667	0.04368161497280876	0.01457333509240883	-0.24032989986910847	0.10551989684320373	-0.029108279880400132	0.345849796712312
A0A0H3N9T5	STM0802	13105.8688964844	14546.7463378906	31220.0512695312	24767.8420410156	32950.3774414062	25970.810546875	1.3300819861454762	0.07782208466356957	0.8361945386400681	0.06842286539730989	-1.2522599014819067	-0.7677716732427583
A0A0H3NJ96	STM0803	379752.546875	308746.015625	214575.5078125	193218.26171875	219260.68359375	203278.609375	-0.7924124999713085	0.031161727812371642	-0.6029621077130708	0.07322695642876136	0.8235742277836802	0.6761890641418322
A0A0H3NB06	STM0804	187695.6875	177173.97265625	149689.81640625	164197.375	158230.4140625	143453.911458333	-0.24636857085804345	0.08005085599388616	-0.3045793779817805	-0.1948437575321679	0.32641942685192954	0.1097356204496125
A0A0H3N9B6	STM0805	220850.7890625	270099.26171875	144072.6640625	202722.71875	144964.60546875	213339.265625	-0.6073712918111659	0.008904066457021293	-0.34034017468764444	0.07364174378733475	0.6162753582681871	0.4139819184749793
A0A0H3NEJ9	STM0806	254990.83203125	338323.203125	246961.90234375	299010.1328125	257802.16796875	279766.197916667	0.015819018791984774	0.06197589482426479	-0.27418046162672	-0.09597271224831407	0.04615687603228018	0.17820774937840592
A0A0H3NEK5	STM0811	759020.375	120926.173828125	263494.10546875	76088.546875	275452.298828125	48011.5078125	-1.4623361104152552	0.0640318149642985	-1.332674392073898	-0.6642990654835748	1.5263679253795537	0.6683753265903233
A0A0H3N9U5	STM0812	147319.54296875	44831.82421875	32099.63671875	22427.3388671875	35192.931640625	22774.376953125	-2.0655912231177105	0.1327287284101451	-0.9771116179879538	0.02215313972575665	2.1983199515278558	0.9992647577137103
A0A0H3NJA4	STM0813	376564.96875	185764.75390625	74603.517578125	49572.0966796875	78225.259765625	57246.11328125	-2.26719234513196	0.06839088870090307	-1.6982271477791995	0.20764946521262792	2.3355832338328635	1.9058766129918276
