Abbreviation	Subsystem
NDPK8	S+AF8-Purine+AF8-Metabolism
NFMLDF	S+AF8-Aromatic+AF8-Compounds+AF8-Degradation+AF8AXw-Nicotinic+AF8-acid+AF8-pathway
NFORGLUAH2	S+AF8-Histidine+AF8-Metabolism
NH4t3pp	S+AF8-Transport+AF8AXw-Inner+AF8-Membrane
NH4tex	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
NH4tpp	S+AF8-Transport+AF8AXw-Inner+AF8-Membrane
NI2t3pp	S+AF8-Heavy+AF8-Metal+AF8-Tolerance
NI2t4pp	S+AF8-Heavy+AF8-Metal+AF8-Tolerance
NI2tex	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
NI2tpp	S+AF8-Transport+AF8AXw-Inner+AF8-Membrane
NI2uabcpp	S+AF8-Transport+AF8AXw-ABC+AF8-system
NMNAT	S+AF8-Cofactor+AF8-and+AF8-Prosthetic+AF8-Group+AF8-Biosynthesis+AF8AXw-Nicotinamide+AF8-Biosynthesis
NMNDA	S+AF8-Cofactor+AF8-and+AF8-Prosthetic+AF8-Group+AF8-Biosynthesis+AF8AXw-Nicotinamide+AF8-Biosynthesis
NMNN	S+AF8-Purine+AF8-Metabolism
NMTHDA	S+AF8-Alternate+AF8-Carbon+AF8-and+AF8-Nitrogen+AF8-source+AF8AXw-Amines+AF8-and+AF8-Polyamines+AF8-Metabolism
NNATr	S+AF8-Cofactor+AF8-and+AF8-Prosthetic+AF8-Group+AF8-Biosynthesis+AF8AXw-Nicotinamide+AF8-Biosynthesis
NNDMBRT	S+AF8-Cofactor+AF8-and+AF8-Prosthetic+AF8-Group+AF8-Biosynthesis+AF8AXw-Porphyrin+AF8-and+AF8-Chlorophyll+AF8-Metabolism
NNDPR	S+AF8-Cofactor+AF8-and+AF8-Prosthetic+AF8-Group+AF8-Biosynthesis+AF8AXw-Nicotinamide+AF8-Biosynthesis
NO2t2rpp	S+AF8-Transport+AF8AXw-Inner+AF8-Membrane
NO2tex	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
NO3t2pp	S+AF8-Transport+AF8AXw-Inner+AF8-Membrane
NO3abcpp	S+AF8-Transport+AF8AXw-ABC+AF8-system
NO3tex	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
NODOx	S+AF8-Nitrogen+AF8-Metabolism
NODOy	S+AF8-Nitrogen+AF8-Metabolism
NONAtexi	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
NOtex	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
NOtpp	S+AF8-Transport+AF8AXw-Inner+AF8-Membrane
NTD1	S+AF8-Pyrimidine+AF8-Metabolism
NTD10	S+AF8-Purine+AF8-Metabolism
NTD10pp	S+AF8-Purine+AF8-Metabolism
NTD11	S+AF8-Purine+AF8-Metabolism
NTD11pp	S+AF8-Purine+AF8-Metabolism
NTD12	S+AF8-Pyrimidine+AF8-Metabolism
NTD12pp	S+AF8-Pyrimidine+AF8-Metabolism
NTD1pp	S+AF8-Pyrimidine+AF8-Metabolism
NTD2	S+AF8-Pyrimidine+AF8-Metabolism
NTD2pp	S+AF8-Pyrimidine+AF8-Metabolism
NTD3	S+AF8-Pyrimidine+AF8-Metabolism
NTD3pp	S+AF8-Pyrimidine+AF8-Metabolism
NTD4	S+AF8-Pyrimidine+AF8-Metabolism
NTD4pp	S+AF8-Pyrimidine+AF8-Metabolism
NTD5	S+AF8-Pyrimidine+AF8-Metabolism
NTD5pp	S+AF8-Pyrimidine+AF8-Metabolism
NTD6	S+AF8-Purine+AF8-Metabolism
NTD6pp	S+AF8-Purine+AF8-Metabolism
NTD7	S+AF8-Purine+AF8-Metabolism
NTD7pp	S+AF8-Purine+AF8-Metabolism
NTD8	S+AF8-Purine+AF8-Metabolism
NTD8pp	S+AF8-Purine+AF8-Metabolism
NTD9	S+AF8-Purine+AF8-Metabolism
NTD9pp	S+AF8-Purine+AF8-Metabolism
NTP1	Biomass and maintenance functions
NTP10	S+AF8-Nucleotide+AF8-Salvage+AF8-Pathway
NTP3	S+AF8-Nucleotide+AF8-Salvage+AF8-Pathway
NTP5	S+AF8-Nucleotide+AF8-Salvage+AF8-Pathway
NTPP1	S+AF8-Purine+AF8-Metabolism
NTPP10	S+AF8-Nucleotide+AF8-Salvage+AF8-Pathway
NTPP11	S+AF8-Nucleotide+AF8-Salvage+AF8-Pathway
NTPP2	S+AF8-Purine+AF8-Metabolism
NTPP3	S+AF8-Pyrimidine+AF8-Metabolism
NTPP4	S+AF8-Pyrimidine+AF8-Metabolism
NTPP5	S+AF8-Purine+AF8-Metabolism
NTPP6	S+AF8-Pyrimidine+AF8-Metabolism
NTPP7	S+AF8-Pyrimidine+AF8-Metabolism
NTPP8	S+AF8-Pyrimidine+AF8-Metabolism
NTPP9	S+AF8-Nucleotide+AF8-Salvage+AF8-Pathway
NTPTP1	S+AF8-Purine+AF8-Metabolism
NTPTP2	S+AF8-Purine+AF8-Metabolism
NITR	S+AF8-Nitrogen+AF8-Metabolism
NTRIR2x	S+AF8-Nitrogen+AF8-Metabolism
O2tex	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
O2tpp	S+AF8-Transport+AF8AXw-Inner+AF8-Membrane
OAADC	S+AF8-Glycolysis
OAAt2+AF8-2pp	S+AF8-Transport+AF8AXw-Inner+AF8-Membrane
OAAtex	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
OARGDC	S+AF8-Arginine+AF8-and+AF8-Proline+AF8-Metabolism
OARGabcpp	S+AF8-Transport+AF8AXw-ABC+AF8-system
OARGtex	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
OBDHc	S+AF8-Alternate+AF8-Carbon+AF8AXw-Propanoate+AF8-Metabolism
OCAALD	S+AF8-Aromatic+AF8-Compounds+AF8-Degradation+AF8AXw-Gallic+AF8-acid+AF8-Metabolism
OCBT2i	S+AF8-Arginine+AF8-and+AF8-Proline+AF8-Metabolism
OCBT	S+AF8-Arginine+AF8-and+AF8-Proline+AF8-Metabolism
OCDCAtexi	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
OCDCEAtexi	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
OCOAT1	S+AF8-Butanoate+AF8-Metabolism
OCOAT4	S+AF8-Alternate+AF8-Carbon+AF8-and+AF8-Nitrogen+AF8-source+AF8AXw-Amines+AF8-and+AF8-Polyamines+AF8-Metabolism
OCTAtex	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
OCTDPS	S+AF8-Cofactor+AF8-and+AF8-Prosthetic+AF8-Group+AF8-Biosynthesis+AF8AXw-Ubiquinone+AF8-biosynthesis
CTECOAI8	S+AF8-Fatty+AF8-Acid+AF8-Metabolism
OGMEACPD	S+AF8-Cofactor+AF8-and+AF8-Prosthetic+AF8-Group+AF8-Biosynthesis+AF8AXw-Biotin+AF8-Biosynthesis
OGMEACPR	S+AF8-Cofactor+AF8-and+AF8-Prosthetic+AF8-Group+AF8-Biosynthesis+AF8AXw-Biotin+AF8-Biosynthesis
OGMEACPS	S+AF8-Cofactor+AF8-and+AF8-Prosthetic+AF8-Group+AF8-Biosynthesis+AF8AXw-Biotin+AF8-Biosynthesis
5HPUDICDC+AF8-c	S+AF8-Alternate+AF8-Carbon+AF8-and+AF8-Nitrogen+AF8-source+AF8AXw-Nucleotide+AF8-Metabolism
OHCUDC2	S+AF8-Alternate+AF8-Carbon+AF8-and+AF8-Nitrogen+AF8-source+AF8AXw-Nucleotide+AF8-Metabolism
OHPBAT	S+AF8-Cofactor+AF8-and+AF8-Prosthetic+AF8-Group+AF8-Biosynthesis+AF8AXw-Vitamin+AF8-B6+AF8-Metabolism
OHPHM	S+AF8-Cofactor+AF8-and+AF8-Prosthetic+AF8-Group+AF8-Biosynthesis+AF8AXw-Ubiquinone+AF8-biosynthesis
PANTS	S+AF8-Cofactor+AF8-and+AF8-Prosthetic+AF8-Group+AF8-Biosynthesis+AF8AXw-Pantothenate+AF8-and+AF8-CoA+AF8-Biosynthesis
OIVD1r	S+AF8-Valine+AF8AXw-Leucine+AF8AXw-and+AF8-Isoleucine+AF8-Metabolism
OIVD2	S+AF8-Valine+AF8AXw-Leucine+AF8AXw-and+AF8-Isoleucine+AF8-Metabolism
OIVD3	S+AF8-Valine+AF8AXw-Leucine+AF8AXw-and+AF8-Isoleucine+AF8-Metabolism
OMAHY	S+AF8-Aromatic+AF8-Compounds+AF8-Degradation+AF8AXw-Gallic+AF8-acid+AF8-Metabolism
OMAIS	S+AF8-Aromatic+AF8-Compounds+AF8-Degradation+AF8AXw-Gallic+AF8-acid+AF8-Metabolism
OMBZLM	S+AF8-Cofactor+AF8-and+AF8-Prosthetic+AF8-Group+AF8-Biosynthesis+AF8AXw-Ubiquinone+AF8-biosynthesis
OMCDC	S+AF8-Valine+AF8AXw-Leucine+AF8AXw-and+AF8-Isoleucine+AF8-Metabolism
OMMBLHX	S+AF8-Cofactor+AF8-and+AF8-Prosthetic+AF8-Group+AF8-Biosynthesis+AF8AXw-Ubiquinone+AF8-biosynthesis
OMPDC	S+AF8-Pyrimidine+AF8-Metabolism
OMPHHX	S+AF8-Cofactor+AF8-and+AF8-Prosthetic+AF8-Group+AF8-Biosynthesis+AF8AXw-Ubiquinone+AF8-biosynthesis
OP4ENH	S+AF8-Aromatic+AF8-Compounds+AF8-Degradation+AF8AXw-Toluene+AF8-Pathway
OP4ENH2	S+AF8-Aromatic+AF8-Compounds+AF8-Degradation+AF8AXw-Toluene+AF8-Pathway
OPAH	S+AF8-Alternate+AF8-Carbon+AF8-and+AF8-Nitrogen+AF8-source+AF8AXw-Amines+AF8-and+AF8-Polyamines+AF8-Metabolism
OPHBDC	S+AF8-Cofactor+AF8-and+AF8-Prosthetic+AF8-Group+AF8-Biosynthesis+AF8AXw-Ubiquinone+AF8-biosynthesis
OPHHX	S+AF8-Cofactor+AF8-and+AF8-Prosthetic+AF8-Group+AF8-Biosynthesis+AF8AXw-Ubiquinone+AF8-biosynthesis
OPMEACPD	S+AF8-Cofactor+AF8-and+AF8-Prosthetic+AF8-Group+AF8-Biosynthesis+AF8AXw-Biotin+AF8-Biosynthesis
OPMEACPR	S+AF8-Cofactor+AF8-and+AF8-Prosthetic+AF8-Group+AF8-Biosynthesis+AF8AXw-Biotin+AF8-Biosynthesis
OPMEACPS	S+AF8-Cofactor+AF8-and+AF8-Prosthetic+AF8-Group+AF8-Biosynthesis+AF8AXw-Biotin+AF8-Biosynthesis
ORN5O	S+AF8-Iron+AF8-uptake+AF8-and+AF8-metabolism
ORNCD	S+AF8-Arginine+AF8-and+AF8-Proline+AF8-Metabolism
ORNDC	S+AF8-Arginine+AF8-and+AF8-Proline+AF8-Metabolism
ORNabcpp	S+AF8-Transport+AF8AXw-ABC+AF8-system
ORNtex	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
OROTt2+AF8-2pp	S+AF8-Transport+AF8AXw-Inner+AF8-Membrane
OROTtex	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
ORPT	S+AF8-Pyrimidine+AF8-Metabolism
OSKTabcpp	S+AF8-Cell+AF8-Envelope+AF8-Biosynthesis+AF8AXw-O+AF8-antigen+AF8-Biosynthesis
OSKTpp	S+AF8-Cell+AF8-Envelope+AF8-Biosynthesis+AF8AXw-O+AF8-antigen+AF8-Biosynthesis
OXAtpp	S+AF8-Transport+AF8AXw-Inner+AF8-Membrane
OXCOAHDH	S+AF8-Aromatic+AF8-Compounds+AF8-Degradation+AF8AXw-Phenylacetyl+AF8-CoA+AF8-Catabolom
OXDHCOAT	S+AF8-Aromatic+AF8-Compounds+AF8-Degradation+AF8AXw-Phenylacetyl+AF8-CoA+AF8-Catabolom
OXFOtex	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
OXOADLR	S+AF8-Lysine+AF8-Metabolism
OXOAEL	S+AF8-Aromatic+AF8-Compounds+AF8-Degradation+AF8AXw-B+AF8-Ketoadipate+AF8-pathway
OXPTNDH	S+AF8-Lysine+AF8-Metabolism
OXYLt5	S+AF8-Transport+AF8AXw-solvent+AF8-extrusion
OXYLt6	S+AF8-Transport+AF8AXw-solvent+AF8-extrusion
O+AF8-XYLtppi	S+AF8-Transport+AF8AXw-Inner+AF8-Membrane
O+AF8-Xylt1	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
P5CD	S+AF8-Arginine+AF8-and+AF8-Proline+AF8-Metabolism
P5CR	S+AF8-Arginine+AF8-and+AF8-Proline+AF8-Metabolism
PA120abcpp	S+AF8-Transport+AF8AXw-ABC+AF8-system
PA160abcpp	S+AF8-Transport+AF8AXw-ABC+AF8-system
PA161abcpp	S+AF8-Transport+AF8AXw-ABC+AF8-system
PA180abcpp	S+AF8-Transport+AF8AXw-ABC+AF8-system
PA181abcpp	S+AF8-Transport+AF8AXw-ABC+AF8-system
PACALDtex	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
PACALtabcpp	S+AF8-Transport+AF8AXw-ABC+AF8-system
PACCOAE	S+AF8-Aromatic+AF8-Compounds+AF8-Degradation+AF8AXw-Phenylacetyl+AF8-CoA+AF8-Catabolom
PACCOAL	S+AF8-Aromatic+AF8-Compounds+AF8-Degradation+AF8AXw-Phenylacetyl+AF8-CoA+AF8-Catabolom
PACt3	S+AF8-Transport+AF8AXw-Inner+AF8-Membrane
PACt1	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
PALDO2	S+AF8-Phosphonate+AF8-and+AF8-phosphinate+AF8-metabolism
PALDP	S+AF8-Phosphonate+AF8-and+AF8-phosphinate+AF8-metabolism
PALGSKT	S+AF8-Alginate+AF8-biosynthesis
PPAt4pp	S+AF8-Transport+AF8AXw-Inner+AF8-Membrane
PAPA120	S+AF8-Glycerophospholipid+AF8-Metabolism
PAPA140	S+AF8-Glycerophospholipid+AF8-Metabolism
PAPA141	S+AF8-Glycerophospholipid+AF8-Metabolism
PAPA160	S+AF8-Glycerophospholipid+AF8-Metabolism
PAPA161	S+AF8-Glycerophospholipid+AF8-Metabolism
PAPA180	S+AF8-Glycerophospholipid+AF8-Metabolism
PAPA181	S+AF8-Glycerophospholipid+AF8-Metabolism
PAPPT3	S+AF8-Cell+AF8-Envelope+AF8-Biosynthesis+AF8AXw-Peptidoglycan+AF8-Biosynthesis
PAPSR	S+AF8-Sulfur+AF8-Metabolism
PAPSR2	S+AF8-Sulfur+AF8-Metabolism
PB2abcpp	S+AF8-Heavy+AF8-Metal+AF8-Tolerance
PB2t5	S+AF8-Heavy+AF8-Metal+AF8-Tolerance
PB2t6	S+AF8-Heavy+AF8-Metal+AF8-Tolerance
PB2tex	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
PB2tpp	S+AF8-Transport+AF8AXw-Inner+AF8-Membrane
PC	S+AF8-TCA+AF8-Cycle
PC11M	S+AF8-Cofactor+AF8-and+AF8-Prosthetic+AF8-Group+AF8-Biosynthesis+AF8AXw-Porphyrin+AF8-and+AF8-Chlorophyll+AF8-Metabolism
PC17M	S+AF8-Cofactor+AF8-and+AF8-Prosthetic+AF8-Group+AF8-Biosynthesis+AF8AXw-Porphyrin+AF8-and+AF8-Chlorophyll+AF8-Metabolism
PC20M	S+AF8-Cofactor+AF8-and+AF8-Prosthetic+AF8-Group+AF8-Biosynthesis+AF8AXw-Porphyrin+AF8-and+AF8-Chlorophyll+AF8-Metabolism
PC6AR	S+AF8-Cofactor+AF8-and+AF8-Prosthetic+AF8-Group+AF8-Biosynthesis+AF8AXw-Porphyrin+AF8-and+AF8-Chlorophyll+AF8-Metabolism
PC6YM	S+AF8-Cofactor+AF8-and+AF8-Prosthetic+AF8-Group+AF8-Biosynthesis+AF8AXw-Porphyrin+AF8-and+AF8-Chlorophyll+AF8-Metabolism
PC8XM	S+AF8-Cofactor+AF8-and+AF8-Prosthetic+AF8-Group+AF8-Biosynthesis+AF8AXw-Porphyrin+AF8-and+AF8-Chlorophyll+AF8-Metabolism
PCADYOX	S+AF8-Aromatic+AF8-Compounds+AF8-Degradation+AF8AXw-B+AF8-Ketoadipate+AF8-pathway
PDE1	S+AF8-Purine+AF8-Metabolism
PDE4	S+AF8-Purine+AF8-Metabolism
PDHa	S+AF8-Gluconeogenesis
PDHbr	S+AF8-Gluconeogenesis
PDHcr	S+AF8-TCA+AF8-Cycle
PDX5POi	S+AF8-Cofactor+AF8-and+AF8-Prosthetic+AF8-Group+AF8-Biosynthesis+AF8AXw-Vitamin+AF8-B6+AF8-Metabolism
PDX5PS	S+AF8-Cofactor+AF8-and+AF8-Prosthetic+AF8-Group+AF8-Biosynthesis+AF8AXw-Vitamin+AF8-B6+AF8-Metabolism
PE120abcpp	S+AF8-Transport+AF8AXw-ABC+AF8-system
PE140abcpp	S+AF8-Transport+AF8AXw-ABC+AF8-system
PE141abcpp	S+AF8-Transport+AF8AXw-ABC+AF8-system
PE160abcpp	S+AF8-Transport+AF8AXw-ABC+AF8-system
PE161abcpp	S+AF8-Transport+AF8AXw-ABC+AF8-system
PE180abcpp	S+AF8-Transport+AF8AXw-ABC+AF8-system
PE181abcpp	S+AF8-Transport+AF8AXw-ABC+AF8-system
PEAL2tabc	S+AF8-Transport+AF8AXw-ABC+AF8-system
PEALtabc	S+AF8-Transport+AF8AXw-solvent+AF8-extrusion
PEALtex	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
PEAMNO2pp	S+AF8-Aromatic+AF8-Compounds+AF8-Degradation+AF8AXw-Phenylacetyl+AF8-CoA+AF8-Catabolom
PEAMNtex	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
PEAOpp	S+AF8-Aromatic+AF8-Compounds+AF8-Degradation+AF8AXw-Phenylacetyl+AF8-CoA+AF8-Catabolom
PEAtabcpp	S+AF8-Transport+AF8AXw-ABC+AF8-system
PENTSOtex	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
PERD	S+AF8-Cofactor+AF8-and+AF8-Prosthetic+AF8-Group+AF8-Biosynthesis+AF8AXw-Vitamin+AF8-B6+AF8-Metabolism
PETNT161+AF8-kt	S+AF8-Cell+AF8-Envelope+AF8-Biosynthesis+AF8AXw-LPS+AF8-Biosynthesis
PETNT181+AF8-kt	S+AF8-Cell+AF8-Envelope+AF8-Biosynthesis+AF8AXw-LPS+AF8-Biosynthesis
PG120abcpp	S+AF8-Transport+AF8AXw-ABC+AF8-system
PG140abcpp	S+AF8-Transport+AF8AXw-ABC+AF8-system
PG141abcpp	S+AF8-Transport+AF8AXw-ABC+AF8-system
PG160abcpp	S+AF8-Transport+AF8AXw-ABC+AF8-system
PG161abcpp	S+AF8-Transport+AF8AXw-ABC+AF8-system
PG180abcpp	S+AF8-Transport+AF8AXw-ABC+AF8-system
PG181abcpp	S+AF8-Transport+AF8AXw-ABC+AF8-system
PGAMT	S+AF8-Cell+AF8-Envelope+AF8-Biosynthesis
PGCD	S+AF8-Glycine+AF8AXw-Serine+AF8-and+AF8-threonine+AF8-metabolism
PGI	S+AF8-Glycolysis
PGK	S+AF8-Gluconeogenesis
PGL	S+AF8-Glycolysis
PGLCNDH	S+AF8-Glycolysis
PGLYCP	S+AF8-Glyoxylate+AF8-and+AF8-dicarboxylate+AF8-metabolism
PGM	S+AF8-Gluconeogenesis
PGMT	S+AF8-Starch+AF8-and+AF8-Sucrose+AF8-Metabolism
PGP120abcpp	S+AF8-Transport+AF8AXw-ABC+AF8-system
PGP140abcpp	S+AF8-Transport+AF8AXw-ABC+AF8-system
PGP141abcpp	S+AF8-Transport+AF8AXw-ABC+AF8-system
PGP160abcpp	S+AF8-Transport+AF8AXw-ABC+AF8-system
PGP161abcpp	S+AF8-Transport+AF8AXw-ABC+AF8-system
PGP180abcpp	S+AF8-Transport+AF8AXw-ABC+AF8-system
PGP181abcpp	S+AF8-Transport+AF8AXw-ABC+AF8-system
PGPP120	S+AF8-Glycerophospholipid+AF8-Metabolism
PGPP120pp	S+AF8-Glycerophospholipid+AF8-Metabolism
PGPP140	S+AF8-Glycerophospholipid+AF8-Metabolism
PGPP140pp	S+AF8-Glycerophospholipid+AF8-Metabolism
PGPP141	S+AF8-Glycerophospholipid+AF8-Metabolism
PGPP141pp	S+AF8-Glycerophospholipid+AF8-Metabolism
PGPP160	S+AF8-Glycerophospholipid+AF8-Metabolism
PGPP160pp	S+AF8-Glycerophospholipid+AF8-Metabolism
PGPP161	S+AF8-Glycerophospholipid+AF8-Metabolism
PGPP161pp	S+AF8-Glycerophospholipid+AF8-Metabolism
PGPP180	S+AF8-Glycerophospholipid+AF8-Metabolism
PGPP180pp	S+AF8-Glycerophospholipid+AF8-Metabolism
PGPP181	S+AF8-Glycerophospholipid+AF8-Metabolism
PGPP181pp	S+AF8-Glycerophospholipid+AF8-Metabolism
PGSA120	S+AF8-Glycerophospholipid+AF8-Metabolism
PGSA140	S+AF8-Glycerophospholipid+AF8-Metabolism
PGSA141	S+AF8-Glycerophospholipid+AF8-Metabolism
PGSA160	S+AF8-Glycerophospholipid+AF8-Metabolism
PGSA161	S+AF8-Glycerophospholipid+AF8-Metabolism
PGSA180	S+AF8-Glycerophospholipid+AF8-Metabolism
PGSA181	S+AF8-Glycerophospholipid+AF8-Metabolism
PHADPC100	S+AF8-PHAs+AF8-Metabolism
PHADPC101	S+AF8-PHAs+AF8-Metabolism
PHADPC120	S+AF8-PHAs+AF8-Metabolism
PHADPC121	S+AF8-PHAs+AF8-Metabolism
PHADPC121d6	S+AF8-PHAs+AF8-Metabolism
PHADPC140	S+AF8-PHAs+AF8-Metabolism
PHADPC141	S+AF8-PHAs+AF8-Metabolism
PHADPC141d5	S+AF8-PHAs+AF8-Metabolism
PHADPC142	S+AF8-PHAs+AF8-Metabolism
PHADPC40	S+AF8-PHAs+AF8-Metabolism
PHADPC50	S+AF8-PHAs+AF8-Metabolism
PHADPC60	S+AF8-PHAs+AF8-Metabolism
PHADPC70	S+AF8-PHAs+AF8-Metabolism
PHADPC80	S+AF8-PHAs+AF8-Metabolism
PHADPC90	S+AF8-PHAs+AF8-Metabolism
PHADPCP100	S+AF8-PHAs+AF8-Metabolism
PHADPCP40	S+AF8-PHAs+AF8-Metabolism
PHADPCP50	S+AF8-PHAs+AF8-Metabolism
PHADPCP60	S+AF8-PHAs+AF8-Metabolism
PHADPCP70	S+AF8-PHAs+AF8-Metabolism
PHADPCP80	S+AF8-PHAs+AF8-Metabolism
PHADPCP90	S+AF8-PHAs+AF8-Metabolism
PHADPCT40	S+AF8-PHAs+AF8-Metabolism
PHADPCT60	S+AF8-PHAs+AF8-Metabolism
PHAP2C100	S+AF8-PHAs+AF8-Metabolism
PHAP2C101	S+AF8-PHAs+AF8-Metabolism
PHAP2C120	S+AF8-PHAs+AF8-Metabolism
PHAP2C121	S+AF8-PHAs+AF8-Metabolism
PHAP2C121d6	S+AF8-PHAs+AF8-Metabolism
PHAP2C140	S+AF8-PHAs+AF8-Metabolism
PHAP2C141	S+AF8-PHAs+AF8-Metabolism
PHAP2C141d5	S+AF8-PHAs+AF8-Metabolism
PHAP2C142	S+AF8-PHAs+AF8-Metabolism
PHAP2C60	S+AF8-PHAs+AF8-Metabolism
PHAP2C80	S+AF8-PHAs+AF8-Metabolism
PHAPC40	S+AF8-PHAs+AF8-Metabolism
PHAPC50	S+AF8-PHAs+AF8-Metabolism
PHAPC70	S+AF8-PHAs+AF8-Metabolism
PHAPC90	S+AF8-PHAs+AF8-Metabolism
PHAPCP100	S+AF8-PHAs+AF8-Metabolism
PHAPCP40	S+AF8-PHAs+AF8-Metabolism
PHAPCP50	S+AF8-PHAs+AF8-Metabolism
PHAPCP60	S+AF8-PHAs+AF8-Metabolism
PHAPCP70	S+AF8-PHAs+AF8-Metabolism
PHAPCP80	S+AF8-PHAs+AF8-Metabolism
PHAPCP90	S+AF8-PHAs+AF8-Metabolism
PHAPCT40	S+AF8-PHAs+AF8-Metabolism
PHAPCT60	S+AF8-PHAs+AF8-Metabolism
PHEDCAtexi	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
PHEHPAtexi	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
PHEHXAtexi	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
PHEME2abcpp	S+AF8-Transport+AF8AXw-Inner+AF8-Membrane
PHEMEabcpp	S+AF8-Iron+AF8-uptake+AF8-and+AF8-metabolism
PHEMEtiex	S+AF8-Iron+AF8-uptake+AF8-and+AF8-metabolism
PHEMEtonex	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
PHENONAtexi	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
PHEOCTAtexi	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
PHEPTtexi	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
PHETA1	S+AF8-Phenylalanine+AF8-Tyrosine+AF8-Tryptophan+AF8-Biosynthesis
PHETHPTOX3	S+AF8-Aromatic+AF8-Compounds+AF8-Degradation+AF8AXw-Homogentisate+AF8-pathway
PHETRS	S+AF8-tRNA+AF8-Charging
PHEt2rpp	S+AF8-Transport+AF8AXw-Inner+AF8-Membrane
PHEtex	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
PHNACH	S+AF8-Phosphonate+AF8-and+AF8-phosphinate+AF8-metabolism
PHPYRtex	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
PHPYRtpp	S+AF8-Transport+AF8AXw-Inner+AF8-Membrane
PIt2rpp	S+AF8-Transport+AF8AXw-Inner+AF8-Membrane
PIt7ipp	S+AF8-Transport+AF8AXw-Inner+AF8-Membrane
PItex	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
PIuabcpp	S+AF8-Transport+AF8AXw-ABC+AF8-system
PLCTI1	S+AF8-Fatty+AF8-Acid+AF8AXw-Biosynthesis
PLCTI2	S+AF8-Fatty+AF8-Acid+AF8AXw-Biosynthesis
PLCTI3	S+AF8-Fatty+AF8-Acid+AF8AXw-Biosynthesis
PLCTI4	S+AF8-Fatty+AF8-Acid+AF8AXw-Biosynthesis
PLCTI5	S+AF8-Fatty+AF8-Acid+AF8AXw-Biosynthesis
PLCTI6	S+AF8-Fatty+AF8-Acid+AF8AXw-Biosynthesis
PLIPA1E160pp	S+AF8-Glycerophospholipid+AF8-Metabolism
PLIPA1E161pp	S+AF8-Glycerophospholipid+AF8-Metabolism
PLIPA1E180pp	S+AF8-Glycerophospholipid+AF8-Metabolism
PLIPA1E181d11pp	S+AF8-Glycerophospholipid+AF8-Metabolism
PLIPA1G160pp	S+AF8-Glycerophospholipid+AF8-Metabolism
PLIPA1G161pp	S+AF8-Glycerophospholipid+AF8-Metabolism
PLIPA1G180pp	S+AF8-Glycerophospholipid+AF8-Metabolism
PLIPA1G181d11pp	S+AF8-Glycerophospholipid+AF8-Metabolism
PLIPA2E160pp	S+AF8-Glycerophospholipid+AF8-Metabolism
PLIPA2E161pp	S+AF8-Glycerophospholipid+AF8-Metabolism
PLIPA2E180pp	S+AF8-Glycerophospholipid+AF8-Metabolism
PLIPA2E181d11pp	S+AF8-Glycerophospholipid+AF8-Metabolism
PLIPA2G160pp	S+AF8-Glycerophospholipid+AF8-Metabolism
PLIPA2G161pp	S+AF8-Glycerophospholipid+AF8-Metabolism
PLIPA2G180pp	S+AF8-Glycerophospholipid+AF8-Metabolism
PLIPA2G181d11pp	S+AF8-Glycerophospholipid+AF8-Metabolism
PLPSLpp	S+AF8-Cell+AF8-Envelope+AF8-Biosynthesis+AF8AXw-O+AF8-antigen+AF8-Biosynthesis
PLPSabctex	S+AF8-Cell+AF8-Envelope+AF8-Biosynthesis+AF8AXw-O+AF8-antigen+AF8-Biosynthesis
PMANM	S+AF8-Alginate+AF8-biosynthesis
